ALICE'S ADVENTURES IN WONDERLAND,Lewis Carroll,Adventure,etext/Alice-in-Wonderland.txt
Gettysburg Address,Abraham Lincoln,Nonfiction,etext/Gettysburg-Address.txt
Leaves of Grass,Walt Whitman,Poetry,etext/Leaves-of-Grass.txt
A Tale of Two Cities,Charles Dickens,Historical,etext/A-Tale-of-Two-Cities.txt
Adventures of Huckleberry Finn,Mark Twain,Adventure,etext/Adventures-of-Huckleberry-Finn.txt
Adventures of Sherlock Holmes,Sir Arthur Conan Doyle,Mystery,etext/Adventures-of-Sherlock-Holmes.txt
Adventures of Tom Sawyer,Mark Twain,Adventure,etext/Adventures-of-Tom-Sawyer.txt
Dracula,Bram Stoker,Horror,etext/Dracula.txt
Frakenstein,Mary Shelley,Horror,etext/Frankenstein.txt
Grimm's Fairy Tales,The Brothers Grimm,Fiction,etext/Grimms-Fairy-Tales.txt
Heart of Darkness,Joseph Conrad,Historical,etext/Heart-of-Darkness.txt
Moby Dick,Herman Melville,Fiction,etext/Moby-Dick.txt
Pride and Prejudice,Jane Austen,Historical,etext/Pride-and-Prejudice.txt
The Iliad of Homer,Homer,Fiction,etext/The-Iliad-of-Homer.txt
The Importance of Being Earnest,Sir Oscar Wilde,Historical,etext/The-Importance-of-Being-Earnest.txt
Ulysses,James Joyce,Fiction,etext/Ulysses.txt
Emma,Jane Austen,Nonfiction,etext/Emma.txt
War and Peace,Leo Tolstoy,Adventure,etext/War-and-Peace.txt
Great Expectations,Charles Dickens,Historical,etext/Great-Expectations.txt
